CHEMid,Smiles,data_source,ActivityValue_pIC50
CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL4739695,3.305394801066431
CHEMBL5281651,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)NCCCNC(=O)c2ccccn2)[C@@H](O)[C@H]1O,CHEMBL4739695,3.478861916295964
CHEMBL5281978,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)NCC2CCNCC2)[C@@H](O)[C@H]1O,CHEMBL4739695,3.6020599913279625
CHEMBL5286336,Nc1ncnc2c1ncn2C[C@H]1OC[C@@H](N)[C@H](O)[C@@H]1O,CHEMBL4739695,3.6020599913279625
CHEMBL5276433,CNC1CCC(O)(Cn2cnc3c(N)ncnc32)C(O)C1,CHEMBL4739695,4.008773924307505
CHEMBL5282296,CN1CCC(NC(=O)[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CC1,CHEMBL4739695,4.187086643357144
CHEMBL5288865,O=C(NCc1ccc(N2CCCC2=O)cc1)c1cc(=O)c2ccccc2o1,CHEMBL4739695,4.286509456906058
CHEMBL5286034,CC1(C)CCN(Cc2ccc(C(=O)NC[C@@]3(O)CCCN(c4cc(NCc5ccccc5)ncn4)C3)c(O)c2)CC1,CHEMBL4739695,4.552841968657781
CHEMBL5077639,CNc1ccc2ccc(OCc3cncc(-c4c(C)[nH]c5c(N)ncnc45)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5086303,CNc1ccc2ccc(OCc3cncc(-n4cc(C)c5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5089861,CCc1cc(N(C)C)c2ccc(OCc3cncc(-n4cc(-c5ccn(C)n5)c5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5079233,CNc1ccc2ccc(OCc3cncc(-c4c[nH]c5c(N)ncnc45)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5076232,CN(C)c1ccc2ccc(CC[C@H]3C[C@@H](n4ccc5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,CHEMBL4739695,5.0
CHEMBL5076338,Nc1ncnc2c1ccn2[C@@H]1C[C@H](CCc2ccccn2)[C@@H](O)[C@H]1O,CHEMBL4739695,5.0
CHEMBL5084597,CNc1ccc2ccc(OCc3cncc(-n4cc(-c5ccnn5C)c5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5086807,CNc1ccc2ccc(OCc3cc(CO)cc(-n4cc(Cl)c5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5090485,Nc1ncnc2c1c(Cl)cn2-c1cncc(COc2ccc3ccc(N4CCC4)nc3c2)c1,CHEMBL4739695,5.0
CHEMBL5074903,CCc1cc(N)c2ccc(OCc3cncc(-n4ccc5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5077443,CCc1cc(NC)c2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccn(C)n5)c5c(N)ncnc54)[C@@H](F)[C@@H]3O)cc2n1,CHEMBL4739695,5.0
CHEMBL5089836,CNc1ccc2cc(CCc3cccc(-n4cc(Cl)c5c(N)ncnc54)c3)ccc2n1,CHEMBL4739695,5.0
CHEMBL5075775,CNc1ccc2ccc(OCc3cncc(-n4cc(C5CCCC5)c5c(N)ncnc54)n3)cc2n1,CHEMBL4739695,5.0
CHEMBL5080001,CN(C)c1ccc2ccc(OC[C@H]3O[C@@H](n4ccc5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,CHEMBL4739695,5.0
CHEMBL5089608,CNc1cc(CCCN2CCOCC2)c2ccc(OCc3cncc(-n4ccc5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5081061,CNc1ccc2ccc(OCc3cc(CO)cc(-c4c[nH]c5c(N)ncnc45)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5089082,CCc1cc(N)c2ccc(OCc3cncc(-n4cc(Cl)c5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5080707,CCc1cc(NCCN(C)C)c2c(F)cc(OCc3cncc(-n4cc(-c5ccn(C)n5)c5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,5.0
CHEMBL5270921,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)NCCCCN2CCCC2)[C@@H](O)[C@H]1O,CHEMBL4739695,5.060480747381382
CHEMBL5081407,CNc1cc(N2CCCC(O)(CNC(=O)c3ccc(CN4CCC(C)(C)CC4)cc3)C2)ncn1,CHEMBL4739695,5.154901959985743
CHEMBL5078612,CNc1cc(N2CCC(O)(CNc3ccc(CN4CCC(C)(C)CC4)nc3)CC2)ncn1,CHEMBL4739695,5.236572006437063
CHEMBL5094929,CNc1cc(N2CCC(O)(CNc3ccc(CN4CCC(C)(C)CC4)cc3)CC2)ncn1,CHEMBL4739695,5.301029995663981
CHEMBL5091996,CNc1cc(N2CCC(O)(CNc3ccc(CN4CCC(C)(C)CC4)cn3)CC2)ncn1,CHEMBL4739695,5.337242168318426
CHEMBL5072742,CC1(C)CCN(Cc2ccc(N3CC(=O)NC4(CCN(c5ccnc6[nH]ccc56)CC4)C3)cc2)CC1,CHEMBL4739695,5.346787486224656
CHEMBL5092569,CC1(C)CCN(Cc2ccc(C(=O)NC3CCN(c4cc(NCc5ccccc5)ncn4)CC3)cn2)CC1,CHEMBL4739695,5.443697499232713
CHEMBL5083959,CNc1cc(N2CCC3(CC2)CN(c2ccc(CN4CCC(C)(C)CC4)cc2)C(=O)N3)ncn1,CHEMBL4739695,5.7447274948966935
CHEMBL5081806,CNc1cc(N2CCC3(CC2)CN(c2ccc(CN4CCC(C)(C)CC4)cc2)CC(=O)N3C)ncn1,CHEMBL4739695,5.823908740944319
CHEMBL5086804,CNc1ccc2ccc(OCc3cncc(-n4ccc5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,6.0
CHEMBL5086334,Nc1ncnc2c1ccn2[C@@H]1C[C@H](CCc2ccc3ccc(Nc4ccccc4)nc3c2)[C@@H](O)[C@H]1O,CHEMBL4739695,6.0
CHEMBL5086772,CC(C)c1nc(NCCN(C)C)c2ccc(OCc3cncc(-n4ccc5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,6.0
CHEMBL5086678,CN(C)C(=O)c1ccc(OCc2cncc(-n3cc(-c4ccn(C)n4)c4c(N)ncnc43)c2)cc1N,CHEMBL4739695,6.0
CHEMBL5086398,Cn1ccc(-c2cn(-c3cncc(COc4ccc(C(=O)N5CCC(F)(F)CC5)c(N)c4)c3)c3ncnc(N)c23)n1,CHEMBL4739695,6.0
CHEMBL5085962,CN(CC1CC1)C(=O)c1ccc(OCc2cncc(-n3cc(-c4ccn(C)n4)c4c(N)ncnc43)c2)cc1N,CHEMBL4739695,6.0
CHEMBL5077183,Nc1ncnc2c1ccn2[C@@H]1C[C@H](CCc2ccc3[nH]ccc3c2)[C@@H](O)[C@H]1O,CHEMBL4739695,6.0
CHEMBL5077244,CCc1cc(NCCOC)c2ncc(OCc3cncc(-n4cc(-c5ccn(C)n5)c5c(N)ncnc54)c3)cc2n1,CHEMBL4739695,6.0
CHEMBL5077214,Cn1ccc(-c2cn([C@@H]3C[C@H](COc4ccc5ccc(N6CCC6)nc5c4)[C@@H](O)C3)c3ncnc(N)c23)n1,CHEMBL4739695,6.0
CHEMBL5076876,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccccn5)c5c(N)ncnc54)[C@@H](F)[C@@H]3O)cc2n1,CHEMBL4739695,6.0
CHEMBL5085882,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(C5CCCC5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,CHEMBL4739695,6.0
CHEMBL5076839,CCCNc1ncnc2c1ccn2[C@@H]1C[C@H](CCc2ccc3ccc(N)nc3c2)[C@@H](O)[C@H]1O,CHEMBL4739695,6.0
CHEMBL5088095,CN(C)Cc1cccc(OC[C@H]2O[C@@H](n3cc(Br)c4c(N)ncnc43)[C@@H](F)[C@@H]2O)c1,CHEMBL4739695,6.0
